start_id,end_id,type
11861382,G06,CLASSIFIED_AS
11861390,G06,CLASSIFIED_AS
11861410,G06,CLASSIFIED_AS
11861422,G06,CLASSIFIED_AS
11861423,G06,CLASSIFIED_AS
11861452,G10,CLASSIFIED_AS
11861452,G06,CLASSIFIED_AS
11861455,G06,CLASSIFIED_AS
11861455,B82,CLASSIFIED_AS
11861462,G06,CLASSIFIED_AS
11861465,G06,CLASSIFIED_AS
11861466,G06,CLASSIFIED_AS
11861467,G06,CLASSIFIED_AS
11861468,G06,CLASSIFIED_AS
11861468,G16,CLASSIFIED_AS
11861469,G06,CLASSIFIED_AS
11861470,G06,CLASSIFIED_AS
11861472,G06,CLASSIFIED_AS
11861474,G06,CLASSIFIED_AS
11861475,G06,CLASSIFIED_AS
11861475,G16,CLASSIFIED_AS
11861476,G06,CLASSIFIED_AS
11861477,G06,CLASSIFIED_AS
11861478,G06,CLASSIFIED_AS
11861481,G05,CLASSIFIED_AS
11861481,G06,CLASSIFIED_AS
11861482,G06,CLASSIFIED_AS
11861483,G06,CLASSIFIED_AS
11861483,H03,CLASSIFIED_AS
11861484,G06,CLASSIFIED_AS
11861484,Y02,CLASSIFIED_AS
11861486,G06,CLASSIFIED_AS
11861489,G06,CLASSIFIED_AS
11861490,G06,CLASSIFIED_AS
11861491,G16,CLASSIFIED_AS
11861491,G06,CLASSIFIED_AS
11861492,G06,CLASSIFIED_AS
11861493,G06,CLASSIFIED_AS
11861494,G06,CLASSIFIED_AS
11861495,G06,CLASSIFIED_AS
11861496,G06,CLASSIFIED_AS
11861496,G05,CLASSIFIED_AS
11861496,Y02,CLASSIFIED_AS
11861497,G06,CLASSIFIED_AS
11861498,G06,CLASSIFIED_AS
11861499,G06,CLASSIFIED_AS
11861502,G06,CLASSIFIED_AS
11861502,B60,CLASSIFIED_AS
11861502,F24,CLASSIFIED_AS
11861502,G05,CLASSIFIED_AS
11861503,G06,CLASSIFIED_AS
11861504,G06,CLASSIFIED_AS
11861505,G06,CLASSIFIED_AS
11861510,G06,CLASSIFIED_AS
11861511,G06,CLASSIFIED_AS
11861513,G06,CLASSIFIED_AS
11861514,G06,CLASSIFIED_AS
11861534,G06,CLASSIFIED_AS
11861536,G06,CLASSIFIED_AS
11861560,G06,CLASSIFIED_AS
11861563,G06,CLASSIFIED_AS
