start_id,end_id,type
11860827,Tannehill,PATENTED_BY
11860827,Vakalapudi,PATENTED_BY
11860827,Jagmohan,PATENTED_BY
11860827,Suneetha,PATENTED_BY
11860827,Soren Singh,PATENTED_BY
11860831,Adhish,PATENTED_BY
11860831,Kushal Ramkumar,PATENTED_BY
11860831,Nigam,PATENTED_BY
11860839,Debajyoti Roy,PATENTED_BY
11860841,Volker,PATENTED_BY
11860841,Ralf-Juergen Driesen,PATENTED_BY
11860841,Hauck,PATENTED_BY
11860843,Futian Dong,PATENTED_BY
11860846,Gonzalez Aguirre,PATENTED_BY
11860846,Felip Leon,PATENTED_BY
11860846,Ignacio,PATENTED_BY
11860846,Javier,PATENTED_BY
11860846,David Alvarez,PATENTED_BY
11860848,Borchmann,PATENTED_BY
11860848,Dwojak,PATENTED_BY
11860848,Garncarek,PATENTED_BY
11860848,Jurkiewicz,PATENTED_BY
11860848,Szyndler,PATENTED_BY
11860848,Turski,PATENTED_BY
11860848,Palka,PATENTED_BY
11860848,Tomasz Pietruszka,PATENTED_BY
11860848,Lukasz Slawomir,PATENTED_BY
11860848,Dawid Andrzej,PATENTED_BY
11860848,Karolina,PATENTED_BY
11860848,Michal,PATENTED_BY
11860848,Lukasz Konrad,PATENTED_BY
11860848,Gabriela Klaudia,PATENTED_BY
11860848,Michal Waldemar,PATENTED_BY
11860850,Jones,PATENTED_BY
11860850,Sotolongo,PATENTED_BY
11860850,Daniel Cseri,PATENTED_BY
11860850,Mills,PATENTED_BY
11860850,Daniel E.,PATENTED_BY
11860850,Istvan,PATENTED_BY
11860850,Tyler,PATENTED_BY
11860852,Brian N. Harvey,PATENTED_BY
11860857,Thomas J.,PATENTED_BY
11860857,Bradford Scott,PATENTED_BY
11860857,Subhasish Wysocki,PATENTED_BY
11860857,Sullivan,PATENTED_BY
11860857,Roy,PATENTED_BY
11860864,Shashank Mohan Jain,PATENTED_BY
11860865,Ilker Kavas,PATENTED_BY
11860877,Aurelian Dumitru,PATENTED_BY
11860883,Kadiyala,PATENTED_BY
11860883,Ramaiah,PATENTED_BY
11860883,Amdekar,PATENTED_BY
11860883,Mahindrakar,PATENTED_BY
11860883,Jahnavi,PATENTED_BY
11860883,Suresh,PATENTED_BY
11860883,Vijaya,PATENTED_BY
11860883,Krishna Raj,PATENTED_BY
11860883,Subramaniam Ramanadham,PATENTED_BY
11860884,Vasyl,PATENTED_BY
11860884,Senthil Kumar Pihur,PATENTED_BY
11860884,Sundaram,PATENTED_BY
11860899,Ahmad Hassan,PATENTED_BY
11860912,Shah,PATENTED_BY
11860912,Romil J. Ross,PATENTED_BY
11860912,Lucas,PATENTED_BY
11860914,Walter,PATENTED_BY
11860914,Pablo,PATENTED_BY
11860914,Alan,PATENTED_BY
11860914,Javed DeFoor,PATENTED_BY
11860914,Arredondo,PATENTED_BY
11860914,deLevie,PATENTED_BY
11860914,Qadrud-Din,PATENTED_BY
11860916,Gutta,PATENTED_BY
11860916,Gupta,PATENTED_BY
11860916,Jaya Prakash Narayana,PATENTED_BY
11860916,Sharad,PATENTED_BY
11860916,Lalit Malhautra,PATENTED_BY
11860917,Manisha,PATENTED_BY
11860917,Kolachalam,PATENTED_BY
11860917,Jena,PATENTED_BY
11860917,Kumar Jain,PATENTED_BY
11860917,Narayanan,PATENTED_BY
11860917,Dutt,PATENTED_BY
11860917,Swamy,PATENTED_BY
11860917,Ranjan Kumar,PATENTED_BY
11860917,Suket,PATENTED_BY
11860917,Siddesha,PATENTED_BY
11860917,Kanakalata,PATENTED_BY
11860917,Rajnikant,PATENTED_BY
11860917,Manish Sharma Dubey,PATENTED_BY
11860919,Jennifer Leigh Lewis,PATENTED_BY
11860928,Feris,PATENTED_BY
11860928,Hui,PATENTED_BY
11860928,Rogerio S.,PATENTED_BY
11860928,Xiaoxiao Wu,PATENTED_BY
11860928,Guo,PATENTED_BY
11860929,Ghafourifar,PATENTED_BY
11860929,Brienne Ghafourifar,PATENTED_BY
11860929,Alston,PATENTED_BY
11860949,Yehezkel Shraga,PATENTED_BY
11860949,Yair,PATENTED_BY
11860949,Alexander,PATENTED_BY
11860949,Oren Sar Resheff,PATENTED_BY
11860949,Horesh,PATENTED_BY
11860949,Zhicharevich,PATENTED_BY
11860949,Shalom,PATENTED_BY
11860954,Mark William Kadayam,PATENTED_BY
11860954,Reed,PATENTED_BY
11860954,Sundaresan R.,PATENTED_BY
11860957,Bharatwaaj,PATENTED_BY
11860957,Subham Shankar,PATENTED_BY
11860957,Biswas,PATENTED_BY
11860961,Yu,PATENTED_BY
11860961,Fang-Chung Huang,PATENTED_BY
11860961,Chen,PATENTED_BY
11860968,Dekel,PATENTED_BY
11860968,Siani Cohen,PATENTED_BY
11860968,Stanger,PATENTED_BY
11860968,Nachshon,PATENTED_BY
11860968,Gat,PATENTED_BY
11860968,Shai Perez,PATENTED_BY
11860968,Noa,PATENTED_BY
11860968,Meir,PATENTED_BY
11860968,Hana,PATENTED_BY
11860968,Oded,PATENTED_BY
11860968,Hila,PATENTED_BY
11860973,Hilkene,PATENTED_BY
11860973,Sanchez,PATENTED_BY
11860973,ZHU,PATENTED_BY
11860973,SRIVASTAVA,PATENTED_BY
11860973,Liu,PATENTED_BY
11860973,Marath Sankarathodi,PATENTED_BY
11860973,Zuoming,PATENTED_BY
11860973,Surendra Singh,PATENTED_BY
11860973,Patricia M.,PATENTED_BY
11860973,Bindusagar,PATENTED_BY
11860973,Ala,PATENTED_BY
11860973,Errol Antonio C.,PATENTED_BY
11860973,Martin A. Moradian,PATENTED_BY
11860975,Ananthanarayanan,PATENTED_BY
11860975,Bhardwaj,PATENTED_BY
11860975,Bahl,PATENTED_BY
11860975,Hsieh,PATENTED_BY
11860975,SHU,PATENTED_BY
11860975,Paramvir,PATENTED_BY
11860975,Tsu-wang,PATENTED_BY
11860975,Yuanchao,PATENTED_BY
11860975,Ganesh,PATENTED_BY
11860975,Nikolaos,PATENTED_BY
11860975,Romil KARIANAKIS,PATENTED_BY
11860976,Zhao,PATENTED_BY
11860976,Lai,PATENTED_BY
11860976,Pan,PATENTED_BY
11860976,Chai,PATENTED_BY
11860976,Feng,PATENTED_BY
11860976,Liu,PATENTED_BY
11860976,Junbin,PATENTED_BY
11860976,Xuanliang,PATENTED_BY
11860976,Haixia,PATENTED_BY
11860976,Yabing,PATENTED_BY
11860976,Lichun,PATENTED_BY
11860976,Yu-Hsien,PATENTED_BY
11860976,Wei LIAO,PATENTED_BY
11860977,Xiong,PATENTED_BY
11860977,Xia,PATENTED_BY
11860977,Xiao,PATENTED_BY
11860977,He,PATENTED_BY
11860977,XING,PATENTED_BY
11860977,Zhang,PATENTED_BY
11860977,Wipf,PATENTED_BY
11860977,Soatto,PATENTED_BY
11860977,Zheng Wang,PATENTED_BY
11860977,Yifan,PATENTED_BY
11860977,David Paul,PATENTED_BY
11860977,Tianjun,PATENTED_BY
11860977,Yuanjun,PATENTED_BY
11860977,Wei,PATENTED_BY
11860977,Tong,PATENTED_BY
11860977,Stefano,PATENTED_BY
11860977,Yongxin,PATENTED_BY
11860979,Wilson,PATENTED_BY
11860979,Frank,PATENTED_BY
11860979,Cardona,PATENTED_BY
11860979,White,PATENTED_BY
11860979,Alexander,PATENTED_BY
11860979,David,PATENTED_BY
11860979,Nolan,PATENTED_BY
11860979,Phillip Michael,PATENTED_BY
11860979,Kip Wilkowski,PATENTED_BY
11860992,Templeton-Steadman,PATENTED_BY
11860992,Ziegler,PATENTED_BY
11860992,MacDonald,PATENTED_BY
11860992,Nassar,PATENTED_BY
11860992,Joan Nelson,PATENTED_BY
11860992,Neil Charles,PATENTED_BY
11860992,William James,PATENTED_BY
11860992,Richard,PATENTED_BY
11860992,Darin,PATENTED_BY
11861002,James Douglas,PATENTED_BY
11861002,Shikhar,PATENTED_BY
11861002,Vikesh Connor,PATENTED_BY
11861002,Shrestha,PATENTED_BY
11861002,Khanna,PATENTED_BY
11861003,Nguyen,PATENTED_BY
11861003,Tin Chi Imani Hossein Abad,PATENTED_BY
11861003,Navid,PATENTED_BY
11861013,Kohout,PATENTED_BY
11861013,Mulrooney,PATENTED_BY
11861013,LeVine,PATENTED_BY
11861013,Sharma,PATENTED_BY
11861013,Kim,PATENTED_BY
11861013,Tarrant,PATENTED_BY
11861013,Plotnikov,PATENTED_BY
11861013,Obando,PATENTED_BY
11861013,Karel Kavanadala Sridhar,PATENTED_BY
11861013,Lacroix,PATENTED_BY
11861013,Richard B.,PATENTED_BY
11861013,Mário Lauande,PATENTED_BY
11861013,Navdeep,PATENTED_BY
11861013,Jee Hyub,PATENTED_BY
11861013,Finbarr,PATENTED_BY
11861013,Anton,PATENTED_BY
11861013,Johnny,PATENTED_BY
11861013,Gopal,PATENTED_BY
11861013,Eanna,PATENTED_BY
11861016,Michael,PATENTED_BY
11861016,Jay C. Roytman,PATENTED_BY
11861016,Jacobs,PATENTED_BY
11861026,Thomas,PATENTED_BY
11861026,Adkins,PATENTED_BY
11861026,Joseph,PATENTED_BY
11861026,Chris,PATENTED_BY
11861026,Stephan Inkenbrandt,PATENTED_BY
11861039,Karnik,PATENTED_BY
11861039,Al-Onaizan,PATENTED_BY
11861039,Goyal,PATENTED_BY
11861039,Manjunatha,PATENTED_BY
11861039,Bodapati,PATENTED_BY
11861039,Pushkin,PATENTED_BY
11861039,Shah,PATENTED_BY
11861039,Dixit,PATENTED_BY
11861039,Sameer Mallya Kasaragod,PATENTED_BY
11861039,Parmesh,PATENTED_BY
11861039,Abhinav,PATENTED_BY
11861039,Ravindra,PATENTED_BY
11861039,Sravan Babu,PATENTED_BY
11861039,Yahor,PATENTED_BY
11861039,Syed Kashif Hussain,PATENTED_BY
